Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
23,23,1,33.216783,0,1.7976931348623157E308,-1,0.0,0.0,1,33.216783,3,0.0,SAT,,0.638,
24,24,1,27.272727,0,1.7976931348623157E308,-1,0.0,0.0,1,27.272727,3,0.0,SAT,,0.583,
25,25,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,3,0.0,SAT,,0.638,
26,26,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,3,0.0,SAT,,0.609,
27,27,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,3,0.0,SAT,,0.634,
28,28,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,3,0.0,SAT,,0.609,
29,29,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,3,0.0,SAT,,0.584,
30,30,1,29.020979,0,1.7976931348623157E308,-1,0.0,0.0,1,29.020979,3,0.0,SAT,,0.583,
31,31,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,3,0.0,SAT,,0.609,
32,32,1,31.118881,0,1.7976931348623157E308,-1,0.0,0.0,1,31.118881,3,0.0,SAT,,0.585,
33,33,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,4,0.0,SAT,,0.586,
34,34,1,30.06993,0,1.7976931348623157E308,-1,0.0,0.0,1,30.06993,4,0.0,SAT,,0.617,
35,35,1,26.923077,0,1.7976931348623157E308,-1,0.0,0.0,1,26.923077,4,0.0,SAT,,0.615,
36,36,1,29.72028,0,1.7976931348623157E308,-1,0.0,0.0,1,29.72028,4,0.0,SAT,,0.669,
37,37,1,24.475524,0,1.7976931348623157E308,-1,0.0,0.0,1,24.475524,4,0.0,SAT,,0.633,
38,38,1,31.468531,0,1.7976931348623157E308,-1,0.0,0.0,1,31.468531,4,0.0,SAT,,0.641,
39,39,1,27.972028,0,1.7976931348623157E308,-1,0.0,0.0,1,27.972028,4,0.0,SAT,,0.559,
40,40,1,34.615385,0,1.7976931348623157E308,-1,0.0,0.0,1,34.615385,4,0.0,SAT,,0.617,
41,41,1,29.370629,0,1.7976931348623157E308,-1,0.0,0.0,1,29.370629,4,0.0,SAT,,0.614,
42,42,1,30.769231,0,1.7976931348623157E308,-1,0.0,0.0,1,30.769231,4,0.0,SAT,,0.616,
43,43,1,27.622378,0,1.7976931348623157E308,-1,0.0,0.0,1,27.622378,4,0.0,SAT,,0.591,
44,44,1,34.615385,0,1.7976931348623157E308,-1,0.0,0.0,1,34.615385,5,0.0,SAT,,0.559,
45,45,1,26.573427,0,1.7976931348623157E308,-1,0.0,0.0,1,26.573427,5,0.0,SAT,,0.618,
46,46,1,32.867133,0,1.7976931348623157E308,-1,0.0,0.0,1,32.867133,5,0.0,SAT,,0.558,
