# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 212552255
# output
#   file = o1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.00234437
# Diagonal elements of inverse mass matrix:
# 1.78476e-005, 2.07457e-005, 1.69872e-005, 3.41313e-005, 3.31942e-005, 1.36465e-005, 6.73486e-005, 4.85006e-005, 5.78233e-005, 1.59139e-005, 0.000110902, 3.94422e-005, 3.77792e-005, 5.74593e-005, 5.41138e-005, 1.5576e-005, 1.75766e-005, 1.42482e-005, 1.52092e-005, 2.87072e-005, 1.91894e-005, 1.00146e-005, 0.00013996, 2.2489e-005, 2.65561e-005, 1.42136e-005, 2.65245e-005
-768.027,0.536842,0.00234437,6,95,1,778.125,1.17851,1.01015,0.356591,0.414558,3.95139,3.90668,-0.253811,1.87505,1.96209,-1.63119,-0.251136,1.77682,-0.852598,-1.59185,1.30207,1.04918,0.260165,0.216039,0.795625,1.70067,-1.53475,0.00022601,1.74444,-1.17973,-0.838553,1.40031,1.57243
-768.198,0.539999,0.00234437,5,50,1,777.176,1.1786,1.00995,0.356549,0.41468,3.9503,3.90559,-0.253897,1.87499,1.9619,-1.63127,-0.251119,1.77666,-0.852412,-1.5921,1.30228,1.04913,0.259907,0.216247,0.795642,1.70049,-1.53461,0.000359308,1.74455,-1.18022,-0.838458,1.40029,1.57238
-767.767,0.725806,0.00234437,6,124,1,784.38,1.17851,1.01021,0.356483,0.414825,3.95173,3.90511,-0.253936,1.8746,1.9618,-1.63115,-0.251437,1.77651,-0.852442,-1.59228,1.30264,1.04982,0.259129,0.216236,0.795605,1.70064,-1.53443,0.000422173,1.74328,-1.1798,-0.837517,1.40004,1.57187
-767.147,0.651786,0.00234437,6,112,1,780.661,1.1789,1.01061,0.356326,0.414477,3.95686,3.90594,-0.25427,1.87479,1.96081,-1.63053,-0.25178,1.77658,-0.851904,-1.59326,1.30173,1.04951,0.258478,0.216564,0.795772,1.70062,-1.53426,0.000314485,1.74232,-1.17949,-0.837247,1.39991,1.57202
-767.415,0.69696,0.00234437,5,33,1,784.436,1.1789,1.01075,0.356271,0.414352,3.95689,3.90566,-0.254255,1.87468,1.96086,-1.63045,-0.252104,1.77662,-0.851912,-1.59331,1.30136,1.04959,0.258534,0.216508,0.795657,1.70067,-1.53428,0.000525526,1.74222,-1.17946,-0.837517,1.39996,1.57204
-767.35,0.622641,0.00234437,5,53,1,782.875,1.17912,1.01078,0.356201,0.414439,3.95681,3.90582,-0.254747,1.87496,1.96082,-1.63069,-0.252013,1.77669,-0.851823,-1.59347,1.301,1.0497,0.258477,0.216456,0.795636,1.70047,-1.53424,0.000372848,1.74261,-1.17948,-0.837467,1.4,1.5722
-767.461,0.612243,0.00234437,5,49,1,775.045,1.17911,1.01087,0.356221,0.414459,3.95694,3.90601,-0.254659,1.87497,1.96078,-1.63066,-0.251665,1.77668,-0.851835,-1.59329,1.30078,1.04977,0.258435,0.216338,0.795767,1.70052,-1.53423,0.000515044,1.7427,-1.17971,-0.837443,1.40009,1.57199
-763.994,0.789473,0.00234437,7,190,1,775.772,1.17851,1.00921,0.356507,0.414506,3.9534,3.90261,-0.257337,1.8754,1.96028,-1.63116,-0.251783,1.77729,-0.851205,-1.59337,1.30062,1.04939,0.258288,0.216512,0.795521,1.7002,-1.53506,0.000577561,1.7385,-1.18061,-0.838289,1.39985,1.57397
-761.853,0.607362,0.00234437,7,163,1,772.443,1.17765,1.00938,0.35628,0.414023,3.95396,3.89933,-0.25639,1.87723,1.96039,-1.6297,-0.250992,1.77859,-0.850153,-1.59483,1.29992,1.04854,0.257886,0.217028,0.794899,1.69933,-1.53379,0.000388992,1.73593,-1.18166,-0.837909,1.40064,1.57382
-762.049,0.270833,0.00234437,5,48,1,775.901,1.17774,1.00931,0.356296,0.413907,3.95384,3.89949,-0.256348,1.87724,1.96027,-1.62968,-0.251244,1.77854,-0.850257,-1.59492,1.29993,1.04861,0.257974,0.217074,0.794847,1.69932,-1.53373,0.000458624,1.73596,-1.18155,-0.837814,1.40058,1.57382
-761.214,0.628571,0.00234437,7,140,1,776.427,1.1773,1.00896,0.356324,0.413785,3.95695,3.89822,-0.256671,1.87682,1.95999,-1.62977,-0.250926,1.77858,-0.850116,-1.59395,1.29999,1.04909,0.257829,0.217226,0.795082,1.69957,-1.53364,0.000483112,1.73476,-1.1818,-0.837606,1.40043,1.57347
-761.561,0.522936,0.00234437,6,109,1,772.38,1.17684,1.00895,0.356386,0.413623,3.96199,3.89952,-0.256176,1.87722,1.9596,-1.6295,-0.251139,1.77827,-0.850687,-1.59445,1.29971,1.04903,0.257839,0.217439,0.795359,1.69944,-1.53373,0.00040979,1.73502,-1.18192,-0.837605,1.40044,1.57318
-761.348,0.637931,0.00234437,7,174,1,772.508,1.17684,1.00883,0.356313,0.413416,3.96174,3.90066,-0.255884,1.87747,1.95938,-1.62999,-0.249461,1.77886,-0.850273,-1.59513,1.30032,1.04919,0.257839,0.21747,0.795244,1.69877,-1.53406,0.000448841,1.73552,-1.18212,-0.837347,1.40086,1.57299
-760.17,0.615741,0.00234437,7,216,1,778.673,1.17528,1.00796,0.355701,0.413257,3.96058,3.89973,-0.256333,1.88024,1.96138,-1.63076,-0.250642,1.7768,-0.848991,-1.59591,1.30301,1.04831,0.256355,0.216016,0.794754,1.69844,-1.5326,0.000370311,1.73328,-1.18373,-0.837117,1.40018,1.57569
-760.368,0.407406,0.00234437,5,54,1,777.511,1.17509,1.00804,0.355704,0.413225,3.9604,3.89997,-0.256338,1.88054,1.96122,-1.63067,-0.250917,1.77678,-0.849058,-1.59586,1.30272,1.04837,0.256251,0.216039,0.794676,1.69857,-1.5325,0.000445235,1.73329,-1.18367,-0.837104,1.40013,1.57543
