# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 216433608
# output
#   file = o3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.0104206
# Diagonal elements of inverse mass matrix:
# 1.32445, 1.43398, 1.00355, 1.07345, 1.71643, 1.33557, 0.178372, 0.727218, 0.8116, 20.8496, 0.2537, 0.0407691, 4.18031, 0.216917, 0.00759749, 0.747556, 0.0715586, 0.0577856, 0.25836, 1.00529, 0.0790404, 0.050814, 0.00268381, 0.304713, 0.0834841, 0.0393361, 0.0992236
2.30108,0.520892,0.0104206,9,511,0,6.89357,1.42822,0.104348,2.4279,0.892337,1.50557,0.699488,0.570423,0.899891,0.336687,13.5651,-0.214262,0.74145,5.37883,-1.75029,0.26585,-1.1967,1.30546,0.252775,1.03975,0.302607,0.534327,0.445699,0.0993662,0.553585,0.544729,0.51794,0.211155
-5.02261,0.882799,0.0104206,7,140,1,13.688,0.439175,0.0321214,0.863728,3.25488,1.51486,0.522231,0.496472,0.868991,0.636353,10.4492,-0.198135,0.795494,4.73314,-1.02701,0.312917,-1.22882,1.20512,0.00565127,0.184545,0.111193,0.975969,0.401735,0.12058,1.06897,0.447441,0.441441,0.137116
2.04178,0.930489,0.0104206,7,141,1,9.9927,0.893662,0.148483,1.60108,0.890559,1.59092,0.321972,0.442386,1.31975,0.836805,11.0246,-0.0492838,0.945807,3.61163,-0.552962,0.29029,-0.834617,0.977611,-0.00478791,0.309398,0.513885,0.835573,0.53218,0.121162,0.685095,0.568877,0.508869,0.137766
-2.90532,0.284904,0.0104206,8,255,0,17.615,0.67152,0.0742309,0.296266,1.10918,0.906403,0.798099,-0.0386133,0.393676,2.11168,11.615,0.690448,0.986048,5.77801,-0.81465,0.351814,-0.293423,0.595801,0.345277,0.173628,2.13673,0.437478,0.695936,0.114104,0.435018,0.852793,0.702389,0.106409
-2.08746,0.118093,0.0104206,6,78,1,23.9825,0.691761,0.0653179,0.322419,1.09556,0.816574,0.643968,-0.0139288,0.416252,2.26394,11.2056,0.739538,1.00373,6.19062,-0.844412,0.369989,-0.0295305,0.590864,0.281674,0.179738,1.97293,0.412105,0.716452,0.110259,0.381536,0.850555,0.717192,0.103735
-2.78366,0.928014,0.0104206,6,66,1,18.5699,0.612976,0.121861,0.420394,0.875137,1.73725,0.933167,-0.0610189,0.477992,2.10672,11.494,0.868854,1.11597,5.25766,-0.792437,0.400043,0.236417,0.379471,0.349134,0.00330858,1.95276,0.470166,0.570789,0.0890794,0.663894,0.926098,0.676263,0.104132
-2.90164,0.542871,0.0104206,3,13,1,11.8035,0.640022,0.122146,0.423833,0.901691,1.81646,0.966654,-0.066396,0.486922,2.13092,11.5343,0.841652,1.11246,5.24427,-0.764876,0.401116,0.252512,0.38404,0.351844,0.00105878,1.99585,0.4607,0.563327,0.089476,0.666442,0.929689,0.675942,0.103957
-5.51724,0.513559,0.0104206,6,105,1,22.5681,0.837788,0.142261,0.326391,0.74181,1.73402,0.719729,-0.0135605,0.750614,2.06115,11.4398,0.518109,1.09969,5.94426,-0.629661,0.429342,0.221269,0.447826,0.338004,-0.268269,2.01403,0.556993,0.401369,0.0939431,0.79243,0.937391,0.715054,0.0967863
-5.91103,0.708007,0.0104206,7,157,1,14.7262,0.758752,0.265721,0.290375,1.25098,2.67218,0.599531,-0.0936628,0.879037,1.90452,11.9572,0.225366,1.12977,4.58219,-0.593555,0.369931,-0.693895,0.472723,0.306878,-0.135694,2.38373,0.31213,0.42621,0.103455,0.863313,0.844701,0.618004,0.0998014
-4.09507,0.442679,0.0104206,8,255,0,19.1678,0.266789,0.871336,0.150209,1.71237,0.980084,0.519941,-0.177251,1.27355,2.04651,4.84763,0.294517,0.945922,3.01909,-0.663639,0.408941,-0.800524,0.550702,-0.0341749,0.54017,2.62555,0.597548,0.531533,0.105137,0.237382,0.909619,0.478469,0.114331
