# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = LearningCurve_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = TestData5.data.R
# init = 2 (Default)
# random
#   seed = 71610261
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,w_0,w_1,w_2,w_3,w_4,w_5,a_0,b_0,c_1,a_1,alpha_1,a_2,b_2,c_2,a_3,b_3,c_3,alpha_3,alpha_4,beta_4,delta_4,kappa_4,a_5,b_5,c_5,alpha_5,sigma
# Adaptation terminated
# Step size = 0.000751098
# Diagonal elements of inverse mass matrix:
# 0.699857, 0.25231, 0.381245, 0.139555, 0.192968, 0.623771, 0.0319874, 0.386245, 0.413514, 9.41856, 0.00249694, 0.0142808, 0.704212, 0.0630781, 0.00290165, 0.414402, 0.0248374, 0.0329686, 0.0318909, 0.111702, 0.0100299, 0.00727083, 0.00189617, 0.0592584, 0.0103548, 0.00802758, 0.140895
17.2816,0.825999,0.000751098,10,1023,0,-3.34773,0.334326,0.065533,1.22085,0.582432,0.704738,0.342577,0.0738547,0.538025,2.05773,6.60805,-0.0644816,1.01079,4.10284,-0.536852,0.267452,2.17442,0.690287,0.0164169,1.01243,-2.3471,0.46298,0.913568,0.135534,-0.0429353,0.892532,0.186726,0.170061
17.8223,0.999988,0.000751098,10,1023,0,-1.41917,0.447637,0.0610815,1.26974,0.813504,0.82004,0.385222,0.11105,0.568463,2.02133,6.83797,-0.0850856,1.06415,3.95469,-0.552866,0.286607,2.00227,0.695653,0.0355609,0.985356,-2.53624,0.375462,0.903176,0.13168,-0.174297,0.94748,0.183812,0.139509
17.8695,0.999991,0.000751098,10,1023,0,-7.03195,0.54061,0.0716821,1.31283,0.861004,0.74828,0.391146,0.160544,0.618622,2.28025,7.91537,-0.0855058,1.04652,3.63906,-0.520008,0.291231,1.9573,0.643624,0.0763228,1.04809,-2.46084,0.377203,0.887827,0.126884,-0.0858934,0.934498,0.1447,0.145663
20.8666,0.943296,0.000751098,10,1023,0,-0.309397,1.20754,0.0845613,1.62816,0.748861,0.581604,0.35671,0.102344,0.901022,2.2219,5.77568,-0.0912425,1.04547,3.7846,-0.44329,0.249406,2.27841,0.773684,-0.0986754,1.01092,-2.68258,0.330395,0.823149,0.113985,0.127683,0.906932,0.160854,0.102907
21.0579,0.999999,0.000751098,10,1023,0,-3.52256,1.13395,0.125525,1.66697,0.645799,0.681545,0.508212,0.0625368,0.927425,1.53265,3.61837,-0.0989961,1.07006,4.02642,-0.541523,0.245234,2.10555,0.803347,-0.0821174,1.03853,-2.77038,0.323758,0.800093,0.11062,0.0943476,0.946241,0.119132,0.103222
23.6553,0.999995,0.000751098,10,1023,0,-14.9249,1.37133,0.115931,1.40161,0.666483,0.679258,0.610204,0.0271325,1.36064,1.79914,5.24803,-0.108008,1.10894,4.06488,-0.473166,0.279928,1.77389,0.786258,-0.0494928,1.05937,-2.78345,0.352685,0.72367,0.10083,0.133251,0.915498,0.0997325,0.0976387
24.3267,0.54832,0.000751098,10,1023,0,-10.2721,1.6651,0.0775623,1.30889,0.55599,0.74435,1.72985,0.0846392,1.3954,1.5908,5.81064,-0.100978,1.08427,4.50708,-0.481853,0.225001,1.26169,0.830622,-0.119463,1.03427,-2.5599,0.42784,0.711177,0.117855,0.260871,0.755724,0.102601,0.0867064
23.2245,0.576733,0.000751098,10,1023,0,-5.38501,1.36883,0.0684736,1.36342,0.525354,0.707642,1.51865,0.0758753,1.48189,1.54985,5.67605,-0.0871843,1.06805,4.6016,-0.547052,0.212178,1.38017,0.851843,-0.108907,1.0383,-2.57704,0.431951,0.724664,0.116999,0.286728,0.732695,0.0980674,0.0860162
23.3381,0.62854,0.000751098,10,1023,0,-7.63451,2.15921,0.0536106,1.13278,0.491387,0.779327,1.69961,0.0552842,1.40346,1.4718,6.93805,-0.0937588,1.06593,5.03806,-0.582233,0.195566,1.66279,0.879746,-0.143209,1.09628,-2.53467,0.390147,0.703144,0.121817,0.26843,0.763375,0.0424983,0.0766166
23.3451,0.824033,0.000751098,10,1023,0,-7.64323,2.00094,0.0594688,1.0748,0.515502,0.821475,1.74083,0.0842251,1.35724,1.49973,6.58473,-0.0981858,1.06495,5.05679,-0.543519,0.199817,1.64628,0.878553,-0.13432,1.07316,-2.54048,0.397079,0.69097,0.111471,0.242122,0.791413,0.0344329,0.0787399
24.1401,0.881636,0.000751098,10,1023,0,-17.9711,1.66255,0.0594429,0.852899,0.503484,0.868119,1.7796,0.0756459,1.459,1.4931,6.06563,-0.10965,1.10168,5.09694,-0.424221,0.178975,1.51038,0.893487,-0.129627,1.09764,-2.54056,0.392991,0.662771,0.109272,0.216948,0.821014,0.0471794,0.0776409
24.0148,0.41642,0.000751098,10,1023,0,-11.9979,1.60923,0.0562019,0.879443,0.515874,0.837968,1.92527,0.0788418,1.47212,1.46496,6.01617,-0.107987,1.09992,5.09065,-0.432153,0.175513,1.50002,0.896566,-0.127334,1.07851,-2.50593,0.382509,0.659806,0.110005,0.214813,0.817888,0.0456824,0.0772173
24.7926,0.999637,0.000751098,10,1023,0,-13.2458,1.64662,0.0436958,0.966224,0.416072,0.864399,1.11417,0.0164225,1.2875,1.42982,5.74666,-0.0889293,1.07827,5.80171,-0.416083,0.167387,1.30929,0.868126,-0.0493528,0.97102,-2.38321,0.367983,0.649356,0.0966003,0.19952,0.85236,0.0941321,0.0743078
23.9619,0.999892,0.000751098,10,1023,0,-9.938,1.73888,0.045396,0.984599,0.416458,0.905789,1.29323,0.0431352,1.23586,1.32976,6.16667,-0.0903846,1.08587,5.79752,-0.39923,0.176459,1.34894,0.867028,-0.0604065,0.958955,-2.34759,0.358541,0.661502,0.0893481,0.176222,0.836742,0.0589098,0.0763961
